epoch,train_loss,val_loss
1,7.654769659042358,7.893514633178711
2,6.336771170298259,6.764887809753418
3,5.0008431275685625,5.328645467758179
4,3.8702660401662192,3.8626482486724854
5,2.8383066852887473,2.6043787002563477
6,1.9538159569104512,1.6919874548912048
7,1.2009241183598836,1.1192594170570374
8,0.7052202175060908,0.6256620287895203
9,0.3540682817498843,0.4076799154281616
10,0.1791329582532247,0.34378211200237274
11,0.15450629964470863,0.2681027054786682
12,0.11689112707972527,0.2354002222418785
13,0.14429514048000178,0.2283480539917946
14,0.19852869709332785,0.22981727123260498
15,0.1668940590073665,0.25037699937820435
16,0.09595374017953873,0.28785283863544464
17,0.12100848617653052,0.31501010805368423
18,0.11133300513029099,0.3017853796482086
